# t (s)	mx ()	my ()	mz ()	T (K)	J (A/m^2)	Ms (A/m)
2.5154999999998534e-10	0.16244721	-0.000599015	0.98671716	306.4536	-0	1.291583e+06
2.517999999999854e-10	0.16246377	-0.00052118715	0.9867144	306.44556	-0	1.2915936e+06
2.520499999999855e-10	0.16247691	-0.00044300506	0.98671234	306.43753	-0	1.2916041e+06
2.5229999999998557e-10	0.16248663	-0.00036461462	0.98671067	306.42947	-0	1.2916146e+06
2.5254999999998565e-10	0.16249289	-0.00028616656	0.98670965	306.42145	-0	1.2916251e+06
2.5279999999998573e-10	0.16249578	-0.00020780669	0.9867092	306.41342	-0	1.2916356e+06
2.530499999999858e-10	0.16249536	-0.00012967667	0.9867095	306.40543	-0	1.2916461e+06
2.532999999999859e-10	0.16249156	-5.191935e-05	0.98671	306.39743	-0	1.2916566e+06
2.5354999999998596e-10	0.16248447	2.5323507e-05	0.9867111	306.38943	-0	1.291667e+06
2.5379999999998603e-10	0.16247417	0.000101919875	0.9867129	306.38147	-0	1.2916775e+06
2.540499999999861e-10	0.16246067	0.0001777313	0.98671496	306.3735	-0	1.2916879e+06
2.542999999999862e-10	0.16244398	0.0002526273	0.98671776	306.36554	-0	1.2916982e+06
2.5454999999998626e-10	0.16242415	0.0003264765	0.98672104	306.3576	-0	1.2917086e+06
2.5479999999998634e-10	0.1624013	0.00039914856	0.9867248	306.34967	-0	1.2917191e+06
2.550499999999864e-10	0.1623755	0.00047052425	0.9867291	306.34174	-0	1.2917294e+06
2.552999999999865e-10	0.16234674	0.00054048136	0.98673356	306.33383	-0	1.2917398e+06
2.5554999999998657e-10	0.16231513	0.0006089029	0.9867388	306.3259	-0	1.2917501e+06
2.5579999999998665e-10	0.1622808	0.0006756755	0.98674446	306.31802	-0	1.2917605e+06
2.560499999999867e-10	0.16224378	0.0007406933	0.9867505	306.31012	-0	1.2917708e+06
2.562999999999868e-10	0.16220416	0.00080384634	0.98675686	306.30225	-0	1.2917811e+06
2.565499999999869e-10	0.16216199	0.0008650356	0.9867639	306.29437	-0	1.2917914e+06
2.5679999999998695e-10	0.16211753	0.0009241644	0.9867711	306.28653	-0	1.2918016e+06
2.5704999999998703e-10	0.16207083	0.0009811451	0.98677874	306.2787	-0	1.291812e+06
2.572999999999871e-10	0.16202188	0.0010358923	0.9867867	306.27084	-0	1.2918222e+06
2.575499999999872e-10	0.16197075	0.0010883223	0.986795	306.263	-0	1.2918324e+06
2.5779999999998726e-10	0.16191767	0.0011383548	0.9868036	306.2552	-0	1.2918426e+06
2.5804999999998734e-10	0.16186272	0.001185919	0.98681265	306.24738	-0	1.2918529e+06
2.582999999999874e-10	0.16180603	0.0012309473	0.9868218	306.23956	-0	1.2918631e+06
2.585499999999875e-10	0.1617477	0.0012733793	0.9868313	306.23178	-0	1.2918732e+06
2.5879999999998757e-10	0.16168787	0.0013131576	0.98684114	306.224	-0	1.2918835e+06
2.5904999999998764e-10	0.16162664	0.0013502323	0.98685116	306.21625	-0	1.2918936e+06
2.592999999999877e-10	0.16156411	0.0013845599	0.9868613	306.20847	-0	1.2919038e+06
2.595499999999878e-10	0.16150035	0.0014160953	0.9868717	306.2007	-0	1.2919139e+06
2.5979999999998787e-10	0.16143566	0.0014448042	0.9868822	306.193	-0	1.291924e+06
2.6004999999998795e-10	0.16137005	0.0014706608	0.9868928	306.18524	-0	1.2919341e+06
2.6029999999998803e-10	0.1613037	0.0014936407	0.9869037	306.17752	-0	1.2919442e+06
2.605499999999881e-10	0.1612367	0.0015137253	0.98691463	306.16983	-0	1.2919544e+06
2.607999999999882e-10	0.16116919	0.0015309069	0.9869256	306.1621	-0	1.2919644e+06
2.6104999999998826e-10	0.16110133	0.0015451739	0.9869366	306.15442	-0	1.2919745e+06
2.6129999999998833e-10	0.16103317	0.0015565277	0.9869479	306.14673	-0	1.2919845e+06
2.615499999999884e-10	0.16096485	0.00156497	0.986959	306.13907	-0	1.2919946e+06
2.617999999999885e-10	0.1608965	0.001570508	0.98697	306.1314	-0	1.2920046e+06
2.6204999999998856e-10	0.16082828	0.0015731595	0.9869813	306.12375	-0	1.2920146e+06
2.6229999999998864e-10	0.1607603	0.0015729432	0.9869923	306.1161	-0	1.2920246e+06
2.625499999999887e-10	0.1606927	0.0015698831	0.9870033	306.10846	-0	1.2920346e+06
2.627999999999888e-10	0.16062552	0.0015640107	0.98701423	306.10083	-0	1.2920446e+06
2.6304999999998887e-10	0.16055892	0.0015553591	0.98702514	306.09323	-0	1.2920545e+06
2.6329999999998895e-10	0.16049303	0.0015439651	0.9870358	306.0856	-0	1.2920645e+06
2.63549999999989e-10	0.16042791	0.0015298742	0.9870463	306.07803	-0	1.2920744e+06
2.637999999999891e-10	0.16036373	0.0015131342	0.9870568	306.07043	-0	1.2920844e+06
2.640499999999892e-10	0.16030067	0.0014938009	0.98706716	306.06287	-0	1.2920942e+06
2.6429999999998925e-10	0.16023876	0.0014719334	0.98707724	306.0553	-0	1.2921041e+06
2.6454999999998933e-10	0.160178	0.0014475918	0.9870872	306.04773	-0	1.292114e+06
2.647999999999894e-10	0.16011862	0.0014208407	0.98709685	306.04016	-0	1.2921239e+06
2.650499999999895e-10	0.16006064	0.0013917496	0.98710626	306.03262	-0	1.2921338e+06
2.6529999999998956e-10	0.16000426	0.0013603929	0.98711544	306.02512	-0	1.2921436e+06
2.6554999999998964e-10	0.15994947	0.0013268476	0.9871244	306.01758	-0	1.2921535e+06
2.657999999999897e-10	0.15989631	0.0012911916	0.98713297	306.01007	-0	1.2921632e+06
2.660499999999898e-10	0.159845	0.0012535098	0.98714125	306.00256	-0	1.2921731e+06
2.6629999999998987e-10	0.15979554	0.0012138888	0.98714936	305.99506	-0	1.2921829e+06
2.6654999999998994e-10	0.159748	0.0011724172	0.987157	305.98758	-0	1.2921928e+06
