# t (s)	mx ()	my ()	mz ()	T (K)	J (A/m^2)	Ms (A/m)
1.3000000000000091e-11	-0.015247297	0.6340634	0.7731053	669.34094	-1.1071806e+11	664550.7
1.3500000000000099e-11	-0.035565216	0.620993	0.78298146	667.5027	-5.956126e+10	669209.1
1.4000000000000107e-11	-0.055855215	0.6068777	0.79280096	665.6725	-3.0830842e+10	673815.25
1.4500000000000115e-11	-0.07602302	0.59177107	0.802482	663.8511	-1.5356172e+10	678368.2
1.500000000000011e-11	-0.09598338	0.5757019	0.81197333	661.85815	-6.823297e+09	683315
1.55000000000001e-11	-0.11565716	0.55868536	0.82124084	659.6967	-2.6705477e+09	688639.94
1.6000000000000093e-11	-0.13498269	0.5407263	0.830261	658.6209	-1.636336e+09	691275.2
1.6500000000000085e-11	-0.15388991	0.52182966	0.83901525	656.4788	-5.893251e+08	696492.4
1.7000000000000077e-11	-0.172302	0.50200534	0.84748673	654.3495	-2.0079598e+08	701639.94
1.750000000000007e-11	-0.19015695	0.48126054	0.85566103	653.2897	-1.1479531e+08	704188.2
1.800000000000006e-11	-0.20738481	0.45960942	0.8635242	651.1794	-3.5991556e+07	709234.5
1.8500000000000052e-11	-0.22390933	0.4370746	0.8710625	649.0818	-1.067566e+07	714215.4
1.9000000000000044e-11	-0.23966762	0.41367692	0.87826335	648.03766	-5.694569e+06	716681.75
1.9500000000000036e-11	-0.25459045	0.3894457	0.8851146	645.9588	-1.5542874e+06	721567.25
2.0000000000000028e-11	-0.268605	0.36442044	0.89160407	643.89233	-401346.44	726391
2.050000000000002e-11	-0.2816505	0.33863735	0.89772093	642.8638	-199748.05	728780.1
2.100000000000001e-11	-0.29366285	0.31214243	0.9034551	640.8158	-47462.105	733513.9
2.1500000000000003e-11	-0.30457672	0.28499165	0.90879655	638.7801	-10669.132	738189.25
2.2049999999999994e-11	-0.31524748	0.25443256	0.9142089	637.7668	-4954.379	740505.44
2.2549999999999986e-11	-0.3236793	0.22608313	0.91870016	635.74927	-1024.8203	745095.7
